timestamp,dataset,method,subsample,n_train,n_test,n_classes,n_sims,test_error_mean,test_error_std,test_error_min,test_error_max,test_error_stderr,val_error_mean,val_error_std,time_mean,config
2026-04-03T18:15:02.177753,iris,ArrowFlow Ensemble (v=3),,120,30,3,5,0.06000000000000001,0.03887301263230201,0.0,0.1,0.017384539747207065,0.0,0.0,1.0208030223846436,"{'filters': '[128]', 'layer_types': ""['sort', 'sort']"", 'moe': 1, 'iters': 200, 'lr': 0.1, 'batch_size': 32, 'distance_metric': 'l1', 'poly_expansion': True, 'pol_deg': 3, 'embed_dim': 16, 'last_layer_update': True, 'encoding_mode': 'projection', 'n_ensemble_views': 3, 'projection_strategy': 'diverse', 'use_augmentation': True, 'adaptive_mode': False}"
2026-04-03T18:15:02.177764,iris,ArrowFlow Ensemble (v=5),,120,30,3,5,0.06,0.013333333333333334,0.03333333333333333,0.06666666666666667,0.00596284793999944,0.0,0.0,1.0588058948516845,"{'filters': '[128]', 'layer_types': ""['sort', 'sort']"", 'moe': 1, 'iters': 200, 'lr': 0.1, 'batch_size': 32, 'distance_metric': 'l1', 'poly_expansion': True, 'pol_deg': 3, 'embed_dim': 16, 'last_layer_update': True, 'encoding_mode': 'projection', 'n_ensemble_views': 5, 'projection_strategy': 'diverse', 'use_augmentation': True, 'adaptive_mode': False}"
2026-04-03T18:15:02.177774,iris,ArrowFlow Ensemble (v=11),,120,30,3,5,0.05333333333333333,0.01632993161855452,0.03333333333333333,0.06666666666666667,0.007302967433402214,0.0,0.0,1.686186933517456,"{'filters': '[128]', 'layer_types': ""['sort', 'sort']"", 'moe': 1, 'iters': 200, 'lr': 0.1, 'batch_size': 32, 'distance_metric': 'l1', 'poly_expansion': True, 'pol_deg': 3, 'embed_dim': 16, 'last_layer_update': True, 'encoding_mode': 'projection', 'n_ensemble_views': 11, 'projection_strategy': 'diverse', 'use_augmentation': True, 'adaptive_mode': False}"
2026-04-03T18:15:02.177804,iris,ArrowFlow Ensemble (v=7),,120,30,3,5,0.09333333333333334,0.024944382578492942,0.06666666666666667,0.13333333333333333,0.01115546702045434,0.0,0.0,1.1005073547363282,"{'filters': '[128]', 'layer_types': ""['sort', 'sort']"", 'moe': 1, 'iters': 200, 'lr': 0.1, 'batch_size': 32, 'distance_metric': 'l1', 'poly_expansion': True, 'pol_deg': 3, 'embed_dim': 16, 'last_layer_update': True, 'encoding_mode': 'projection', 'n_ensemble_views': 7, 'projection_strategy': 'diverse', 'use_augmentation': False, 'adaptive_mode': False}"
2026-04-03T18:15:02.177815,iris,ArrowFlow Ensemble (v=7),,120,30,3,5,0.07333333333333333,0.02494438257849295,0.03333333333333333,0.1,0.011155467020454344,0.0,0.0,1.182370662689209,"{'filters': '[128]', 'layer_types': ""['sort', 'sort']"", 'moe': 1, 'iters': 200, 'lr': 0.1, 'batch_size': 32, 'distance_metric': 'l1', 'poly_expansion': True, 'pol_deg': 3, 'embed_dim': 16, 'last_layer_update': True, 'encoding_mode': 'projection', 'n_ensemble_views': 7, 'projection_strategy': 'random', 'use_augmentation': True, 'adaptive_mode': False}"
2026-04-03T18:15:02.177847,wine,Random Forest,,142,36,3,1,0.0,0.0,0.0,0.0,0.0,,,2.3025524616241455,"{'best_params': ""{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min""}"
2026-04-03T18:15:02.177855,wine,SVM-RBF,,142,36,3,1,0.02777777777777779,0.0,0.02777777777777779,0.02777777777777779,0.0,,,0.023467302322387695,"{'best_params': ""{'C': 1, 'break_ties': False, 'cache_size': 200, 'class_weight': None, 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 0.1, 'kernel': 'rbf', 'max_iter': -1, 'probability': False,""}"
2026-04-03T18:15:02.177863,wine,MLP,,142,36,3,1,0.02777777777777779,0.0,0.02777777777777779,0.02777777777777779,0.0,,,0.4131588935852051,"{'best_params': ""{'activation': 'relu', 'alpha': 0.0001, 'batch_size': 'auto', 'beta_1': 0.9, 'beta_2': 0.999, 'early_stopping': False, 'epsilon': 1e-08, 'hidden_layer_sizes': (256,), 'learning_rate': 'constant', 'lea""}"
2026-04-03T18:15:02.177870,wine,KNN,,142,36,3,1,0.0,0.0,0.0,0.0,0.0,,,0.03389883041381836,"{'best_params': ""{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'euclidean', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 11, 'p': 2, 'weights': 'uniform'}""}"
2026-04-03T18:15:02.177880,wine,XGBoost,,142,36,3,1,0.02777777777777779,0.0,0.02777777777777779,0.02777777777777779,0.0,,,9.819594383239746,"{'best_params': ""{'ccp_alpha': 0.0, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.05, 'loss': 'log_loss', 'max_depth': 3, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'mi""}"
