dataset,method,train_size,error_pct
segment,ArrowFlow,1848,4.83
digits,Random Forest,20,29.17
digits,SVM-RBF,20,27.22
digits,MLP,20,31.11
digits,KNN,20,26.94
digits,XGBoost,20,62.78
digits,ArrowFlow,20,58.15
digits,Random Forest,50,26.67
digits,SVM-RBF,50,21.94
digits,MLP,50,25.0
digits,KNN,50,22.5
digits,XGBoost,50,56.11
digits,ArrowFlow,50,26.11
digits,Random Forest,100,13.33
digits,SVM-RBF,100,13.61
digits,MLP,100,13.89
digits,KNN,100,14.44
digits,XGBoost,100,28.89
digits,ArrowFlow,100,17.41
digits,Random Forest,200,10.56
digits,SVM-RBF,200,10.56
digits,MLP,200,15.0
digits,KNN,200,14.44
digits,XGBoost,200,19.17
digits,ArrowFlow,200,14.72
digits,Random Forest,1437,3.61
digits,SVM-RBF,1437,1.67
digits,MLP,1437,2.5
digits,KNN,1437,3.33
digits,XGBoost,1437,3.61
digits,ArrowFlow,1437,4.81
