n_genes,method,encoding,error_pct,time_s
10,Random Forest,raw,1.24,2.4
10,SVM-RBF,raw,1.86,0.0
10,MLP,raw,2.48,0.4
10,KNN,raw,1.86,0.1
10,XGBoost,raw,1.24,6.3
10,Random Forest,ranked,3.73,1.3
10,SVM-RBF,ranked,3.11,0.0
10,MLP,ranked,3.11,0.6
10,KNN,ranked,3.11,0.1
10,XGBoost,ranked,4.35,2.6
10,AF native [64] 1v,native,6.34,3.6
10,AF native [64] 7v,native,4.47,5.9
10,AF native [128] 1v,native,6.09,7.2
10,AF native [128] 7v,native,5.09,11.4
10,"AF native [64,32] 7v",native,3.6,15.1
10,AF proj [128] p1 7v,projection,2.36,8.8
10,AF proj [128] p2 7v,projection,2.36,9.1
15,Random Forest,raw,0.62,1.4
15,SVM-RBF,raw,0.62,0.0
15,MLP,raw,1.24,0.2
15,KNN,raw,1.24,0.0
15,XGBoost,raw,1.24,7.9
15,Random Forest,ranked,1.86,1.0
15,SVM-RBF,ranked,2.48,0.0
15,MLP,ranked,0.62,0.3
15,KNN,ranked,3.11,0.0
15,XGBoost,ranked,0.0,3.2
15,AF native [64] 1v,native,2.36,4.1
15,AF native [64] 7v,native,2.61,4.9
15,AF native [128] 1v,native,4.1,7.2
15,AF native [128] 7v,native,2.48,8.2
15,"AF native [64,32] 7v",native,2.36,10.1
15,AF proj [128] p1 7v,projection,1.99,6.2
15,AF proj [128] p2 7v,projection,1.86,6.2
20,Random Forest,raw,0.62,1.5
20,SVM-RBF,raw,0.0,0.0
20,MLP,raw,0.0,0.3
20,KNN,raw,0.0,0.1
20,XGBoost,raw,2.48,9.0
20,Random Forest,ranked,0.0,1.3
20,SVM-RBF,ranked,0.62,0.0
20,MLP,ranked,0.62,0.3
20,KNN,ranked,0.62,0.0
20,XGBoost,ranked,0.0,3.5
20,AF native [64] 1v,native,1.86,4.2
20,AF native [64] 7v,native,1.24,4.5
20,AF native [128] 1v,native,1.99,7.9
20,AF native [128] 7v,native,1.12,8.9
20,"AF native [64,32] 7v",native,1.12,10.3
20,AF proj [128] p1 7v,projection,1.49,6.3
20,AF proj [128] p2 7v,projection,0.37,6.5
15,SVM-raw (no batch effect),batch_test,0.62,0
15,RF-raw (no batch effect),batch_test,0.62,0
15,SVM-ranked (no batch effect),batch_test,2.48,0
15,AF-native (no batch effect),batch_test,2.48,0
15,SVM-raw (scale ×2.0),batch_test,43.48,0
15,RF-raw (scale ×2.0),batch_test,24.22,0
15,SVM-ranked (scale ×2.0),batch_test,2.48,0
15,AF-native (scale ×2.0),batch_test,4.72,0
15,SVM-raw (scale ×5.0),batch_test,82.61,0
15,RF-raw (scale ×5.0),batch_test,16.15,0
15,SVM-ranked (scale ×5.0),batch_test,11.8,0
15,AF-native (scale ×5.0),batch_test,21.24,0
15,SVM-raw (scale ×10.0),batch_test,82.61,0
15,RF-raw (scale ×10.0),batch_test,29.81,0
15,SVM-ranked (scale ×10.0),batch_test,27.95,0
15,AF-native (scale ×10.0),batch_test,32.55,0
